"id","city","state","stateSlug","citySlug","country","pincode","currency","symbol","compliance","carriers","nodeType","dialingCode","timezone","latitude","longitude","landmark","carrierQuality","localSupport","population","mobileUsers","internetUsers","genderRatioText","malePercentage","femalePercentage","averageIncome","activeMobileDevices","mobilePenetration","internetPenetration","maleCount","femaleCount"
"north-rhine-westphalia-bonn","Bonn","North Rhine-Westphalia","north-rhine-westphalia","bonn","Germany","53111","EUR","€","GDPR / BNetzA","Telekom|Vodafone|O2","city_center","+49 30","Europe/Berlin","48.0747","12.748","Bonn State Highway Crossing Terminal","Primary edge trunk terminated over Telekom networks. Failovers route over Vodafone, O2 with active latency policing loops.","Remote regional support and carrier network coverage for Bonn, Germany","1122796","1068901","1065533","961 females per 1,000 males","51","49","€57,573 per annum","1448406","95.2","94.9","572626","550170"
"baden-wurttemberg-karlsruhe","Karlsruhe","Baden-Württemberg","baden-wurttemberg","karlsruhe","Germany","76131","EUR","€","GDPR / BNetzA","Telekom|Vodafone|O2","city_center","+49 30","Europe/Berlin","51.7877","12.2583","Karlsruhe Civil Station Complex","Primary edge trunk terminated over Telekom networks. Failovers route over Vodafone, O2 with active latency policing loops.","Remote regional support and carrier network coverage for Karlsruhe, Germany","1292390","1194168","1207092","1,002 females per 1,000 males","50","50","€52,640 per annum","1770574","92.4","93.4","646195","646195"
"north-rhine-westphalia-munster","Munster","North Rhine-Westphalia","north-rhine-westphalia","munster","Germany","48143","EUR","€","GDPR / BNetzA","Telekom|Vodafone|O2","city_center","+49 30","Europe/Berlin","50.8958","13.0378","Munster Telecom Exchange Square","Primary edge trunk terminated over Telekom networks. Failovers route over Vodafone, O2 with active latency policing loops.","Remote regional support and carrier network coverage for Munster, Germany","3239737","3161983","2912523","989 females per 1,000 males","50.3","49.7","€43,018 per annum","4308850","97.6","89.9","1629588","1610149"
"emilia-romagna-bologna","Bologna","Emilia-Romagna","emilia-romagna","bologna","Italy","40121","EUR","€","GDPR / AGCOM","WindTre|TIM|Vodafone|iliad","city_center","+39","Europe/Rome","42.7135","12.6395","Bologna Old Town Fort Gate Road","Primary edge trunk terminated over WindTre networks. Failovers route over TIM, Vodafone, iliad with active latency policing loops.","Remote regional support and carrier network coverage for Bologna, Italy","2642945","2066782","1702056","987 females per 1,000 males","50.3","49.7","€60,147 per annum","3620834","78.2","64.4","1329401","1313544"
"apulia-bari","Bari","Apulia","apulia","bari","Italy","70121","EUR","€","GDPR / AGCOM","WindTre|TIM|Vodafone|iliad","city_center","+39","Europe/Rome","42.7734","12.7073","Bari Telecom Exchange Square","Primary edge trunk terminated over WindTre networks. Failovers route over TIM, Vodafone, iliad with active latency policing loops.","Remote regional support and carrier network coverage for Bari, Italy","2967199","2376726","1869335","1,006 females per 1,000 males","49.9","50.1","€63,992 per annum","4065062","80.1","63","1480632","1486567"
"aragon-zaragoza","Zaragoza","Aragon","aragon","zaragoza","Spain","50001","EUR","€","GDPR / CNMC","Movistar|Orange|Vodafone|Yoigo","city_center","+34","Africa/Ceuta","40.1676","-4.054","Zaragoza Industrial Growth Center","Primary edge trunk terminated over Movistar networks. Failovers route over Orange, Vodafone, Yoigo with active latency policing loops.","Remote regional support and carrier network coverage for Zaragoza, Spain","1245405","972661","783359","961 females per 1,000 males","51","49","€67,980 per annum","1519394","78.1","62.9","635157","610248"
"andalusia-malaga","Malaga","Andalusia","andalusia","malaga","Spain","29001","EUR","€","GDPR / CNMC","Movistar|Orange|Vodafone|Yoigo","city_center","+34","Africa/Ceuta","40.0695","-4.1486","Malaga Green Valley Digital Exchange","Primary edge trunk terminated over Movistar networks. Failovers route over Orange, Vodafone, Yoigo with active latency policing loops.","Remote regional support and carrier network coverage for Malaga, Spain","3561613","2785181","2304363","994 females per 1,000 males","50.2","49.8","€42,523 per annum","4950642","78.2","64.7","1787930","1773683"
"canary-islands-las-palmas","Las Palmas","Canary Islands","canary-islands","las-palmas","Spain","35001","EUR","€","GDPR / CNMC","Movistar|Orange|Vodafone|Yoigo","city_center","+34","Africa/Ceuta","39.9137","-3.8418","Las Palmas Metropolitan IT Corridor","Primary edge trunk terminated over Movistar networks. Failovers route over Orange, Vodafone, Yoigo with active latency policing loops.","Remote regional support and carrier network coverage for Las Palmas, Spain","2653918","2046170","1823241","996 females per 1,000 males","50.1","49.9","€45,014 per annum","3556250","77.1","68.7","1329613","1324305"
"groningen-province-groningen","Groningen","Groningen Province","groningen-province","groningen","Netherlands","9700","EUR","€","GDPR / ACM","KPN|VodafoneZiggo|Odido","city_center","+31","Europe/Amsterdam","52.6525","5.8304","Groningen Civil Station Complex","Primary edge trunk terminated over KPN networks. Failovers route over VodafoneZiggo, Odido with active latency policing loops.","Remote regional support and carrier network coverage for Groningen, Netherlands","1729904","1397762","1086379","952 females per 1,000 males","51.2","48.8","€41,673 per annum","2335370","80.8","62.8","885711","844193"
"salzburg-state-salzburg","Salzburg","Salzburg State","salzburg-state","salzburg","Austria","5020","EUR","€","GDPR / RTR","A1|Magenta Telekom|Drei","city_center","+43","Europe/Vienna","47.4743","13.3799","Salzburg Telecom Exchange Square","Primary edge trunk terminated over A1 networks. Failovers route over Magenta Telekom, Drei with active latency policing loops.","Remote regional support and carrier network coverage for Salzburg, Austria","1246160","990697","856111","973 females per 1,000 males","50.7","49.3","€40,903 per annum","1644931","79.5","68.7","631803","614357"
"tyrol-innsbruck","Innsbruck","Tyrol","tyrol","innsbruck","Austria","6020","EUR","€","GDPR / RTR","A1|Magenta Telekom|Drei","city_center","+43","Europe/Vienna","47.1775","13.2618","Innsbruck Industrial Growth Center","Primary edge trunk terminated over A1 networks. Failovers route over Magenta Telekom, Drei with active latency policing loops.","Remote regional support and carrier network coverage for Innsbruck, Austria","4957568","4089993","3262079","960 females per 1,000 males","51","49","€57,869 per annum","6742292","82.5","65.8","2528360","2429208"
"southern-denmark-odense","Odense","Southern Denmark","southern-denmark","odense","Denmark","5000","DKK","kr.","GDPR / SDFE","TDC|Telenor|Telia|3","city_center","+45","Europe/Copenhagen","55.9598","9.8672","Odense Civil Station Complex","Primary edge trunk terminated over TDC networks. Failovers route over Telenor, Telia, 3 with active latency policing loops.","Remote regional support and carrier network coverage for Odense, Denmark","644631","520217","415786","975 females per 1,000 males","50.6","49.4","kr.37,350 DKK per annum","805788","80.7","64.5","326183","318448"
"north-denmark-aalborg","Aalborg","North Denmark","north-denmark","aalborg","Denmark","9000","DKK","kr.","GDPR / SDFE","TDC|Telenor|Telia|3","city_center","+45","Europe/Copenhagen","56.1035","10.0483","Aalborg Telecom Exchange Square","Primary edge trunk terminated over TDC networks. Failovers route over Telenor, Telia, 3 with active latency policing loops.","Remote regional support and carrier network coverage for Aalborg, Denmark","2198047","1817784","1411146","958 females per 1,000 males","51.1","48.9","kr.37,219 DKK per annum","2945382","82.7","64.2","1123202","1074845"
"pirkanmaa-tampere","Tampere","Pirkanmaa","pirkanmaa","tampere","Finland","33100","EUR","€","GDPR / Traficom","Elisa|Telia|DNA","city_center","+358","Europe/Helsinki","63.8315","25.9007","Tampere Metropolitan IT Corridor","Primary edge trunk terminated over Elisa networks. Failovers route over Telia, DNA with active latency policing loops.","Remote regional support and carrier network coverage for Tampere, Finland","3602177","2813300","2456684","959 females per 1,000 males","51","49","€47,419 per annum","4898960","78.1","68.2","1837110","1765067"
"southwest-finland-turku","Turku","Southwest Finland","southwest-finland","turku","Finland","20100","EUR","€","GDPR / Traficom","Elisa|Telia|DNA","city_center","+358","Europe/Helsinki","63.9183","26.0582","Turku Old Town Fort Gate Road","Primary edge trunk terminated over Elisa networks. Failovers route over Telia, DNA with active latency policing loops.","Remote regional support and carrier network coverage for Turku, Finland","1803377","1410240","1128914","996 females per 1,000 males","50.1","49.9","€63,555 per annum","2506694","78.2","62.6","903492","899885"
"trondelag-trondheim","Trondheim","Trøndelag","trondelag","trondheim","Norway","7005","NOK","kr","GDPR / Nkom","Telenor|Telia|Ice","city_center","+47","Europe/Oslo","62.1378","9.9018","Trondheim Telecom Exchange Square","Primary edge trunk terminated over Telenor networks. Failovers route over Telia, Ice with active latency policing loops.","Remote regional support and carrier network coverage for Trondheim, Norway","4385537","3477730","2679563","955 females per 1,000 males","51.2","48.8","kr30,680 NOK per annum","5438065","79.3","61.1","2245395","2140142"
"rogaland-stavanger","Stavanger","Rogaland","rogaland","stavanger","Norway","4005","NOK","kr","GDPR / Nkom","Telenor|Telia|Ice","city_center","+47","Europe/Oslo","62.1596","10.155","Stavanger Railway Station Chowk Node","Primary edge trunk terminated over Telenor networks. Failovers route over Telia, Ice with active latency policing loops.","Remote regional support and carrier network coverage for Stavanger, Norway","1456564","1123010","938027","964 females per 1,000 males","50.9","49.1","kr43,776 NOK per annum","1893533","77.1","64.4","741391","715173"
"uppsala-county-uppsala","Uppsala","Uppsala County","uppsala-county","uppsala","Sweden","753 09","SEK","kr","GDPR / PTS","Telia|Tele2|Telenor|3","city_center","+46","Europe/Stockholm","61.9834","15.1239","Uppsala Green Valley Digital Exchange","Primary edge trunk terminated over Telia networks. Failovers route over Tele2, Telenor, 3 with active latency policing loops.","Remote regional support and carrier network coverage for Uppsala, Sweden","1753430","1374689","1101154","1,001 females per 1,000 males","50","50","kr31,449 SEK per annum","2139184","78.4","62.8","876715","876715"
"ostergotland-linkoping","Linköping","Östergötland","ostergotland","linkoping","Sweden","582 17","SEK","kr","GDPR / PTS","Telia|Tele2|Telenor|3","city_center","+46","Europe/Stockholm","62.0996","14.8725","Linköping Railway Station Chowk Node","Primary edge trunk terminated over Telia networks. Failovers route over Tele2, Telenor, 3 with active latency policing loops.","Remote regional support and carrier network coverage for Linköping, Sweden","2606821","2150627","1783065","1,000 females per 1,000 males","50","50","kr24,841 SEK per annum","3597412","82.5","68.4","1303411","1303411"
"munster-province-cork","Cork","Munster Province","munster-province","cork","Ireland","T12","EUR","€","GDPR / ComReg","Vodafone|Three|Eir","city_center","+353","Europe/Dublin","53.0431","-7.9384","Cork Civil Station Complex","Primary edge trunk terminated over Vodafone networks. Failovers route over Three, Eir with active latency policing loops.","Remote regional support and carrier network coverage for Cork, Ireland","2050421","1695698","1320471","962 females per 1,000 males","51","49","€41,193 per annum","2727059","82.7","64.4","1045715","1004706"
"munster-province-limerick","Limerick","Munster Province","munster-province","limerick","Ireland","V94","EUR","€","GDPR / ComReg","Vodafone|Three|Eir","city_center","+353","Europe/Dublin","52.8629","-7.9329","Limerick Metropolitan IT Corridor","Primary edge trunk terminated over Vodafone networks. Failovers route over Three, Eir with active latency policing loops.","Remote regional support and carrier network coverage for Limerick, Ireland","4761153","3747027","3199494","983 females per 1,000 males","50.4","49.6","€66,147 per annum","6046664","78.7","67.2","2399621","2361532"
"west-pomerania-szczecin","Szczecin","West Pomerania","west-pomerania","szczecin","Poland","70-001","PLN","zł","GDPR / UKE","Orange|Play|Plus|T-Mobile","city_center","+48","Europe/Warsaw","51.904","20.0454","Szczecin Commercial Market Circle","Primary edge trunk terminated over Orange networks. Failovers route over Play, Plus, T-Mobile with active latency policing loops.","Remote regional support and carrier network coverage for Szczecin, Poland","2894599","2370676","1924908","958 females per 1,000 males","51.1","48.9","zł36,348 PLN per annum","3936654","81.9","66.5","1479140","1415459"
"pomerania-gdansk","Gdansk","Pomerania","pomerania","gdansk","Poland","80-001","PLN","zł","GDPR / UKE","Orange|Play|Plus|T-Mobile","city_center","+48","Europe/Warsaw","52.071","20.1363","Gdansk Railway Station Chowk Node","Primary edge trunk terminated over Orange networks. Failovers route over Play, Plus, T-Mobile with active latency policing loops.","Remote regional support and carrier network coverage for Gdansk, Poland","2496580","1944835","1702667","991 females per 1,000 males","50.2","49.8","zł18,187 PLN per annum","3145690","77.9","68.2","1253283","1243297"
"south-moravian-brno","Brno","South Moravian","south-moravian","brno","Czechia","602 00","CZK","Kč","GDPR / CTU","T-Mobile|O2|Vodafone","city_center","+420","Europe/Prague","49.5754","15.3676","Brno Central Industrial Area Road","Primary edge trunk terminated over T-Mobile networks. Failovers route over O2, Vodafone with active latency policing loops.","Remote regional support and carrier network coverage for Brno, Czechia","2941925","2347656","1944612","976 females per 1,000 males","50.6","49.4","Kč20,766 CZK per annum","3883341","79.8","66.1","1488614","1453311"
"moravian-silesian-ostrava","Ostrava","Moravian-Silesian","moravian-silesian","ostrava","Czechia","702 00","CZK","Kč","GDPR / CTU","T-Mobile|O2|Vodafone","city_center","+420","Europe/Prague","49.8685","15.3178","Ostrava Central Industrial Area Road","Primary edge trunk terminated over T-Mobile networks. Failovers route over O2, Vodafone with active latency policing loops.","Remote regional support and carrier network coverage for Ostrava, Czechia","4736405","3841224","2950780","953 females per 1,000 males","51.2","48.8","Kč42,707 CZK per annum","5778414","81.1","62.3","2425039","2311366"
"hajdu-bihar-debrecen","Debrecen","Hajdu-Bihar","hajdu-bihar","debrecen","Hungary","4000","EUR","€","GDPR / NMHH","Yettel|Telekom|Vodafone","city_center","+36","Europe/Budapest","46.8219","20.0034","Debrecen Telecom Exchange Square","Primary edge trunk terminated over Yettel networks. Failovers route over Telekom, Vodafone with active latency policing loops.","Remote regional support and carrier network coverage for Debrecen, Hungary","529406","409760","346760","1,001 females per 1,000 males","50","50","€68,967 per annum","682933","77.4","65.5","264703","264703"
"cluj-county-cluj-napoca","Cluj-Napoca","Cluj County","cluj-county","cluj-napoca","Romania","400001","RON","lei","GDPR / ANCOM","Orange|Vodafone|Digi.Mobil","city_center","+40","Europe/Bucharest","46.0814","24.9791","Cluj-Napoca District Secretariat Enclave","Primary edge trunk terminated over Orange networks. Failovers route over Vodafone, Digi.Mobil with active latency policing loops.","Remote regional support and carrier network coverage for Cluj-Napoca, Romania","2393894","1972568","1572788","987 females per 1,000 males","50.3","49.7","lei18,869 RON per annum","3255695","82.4","65.7","1204129","1189765"
"timis-county-timisoara","Timisoara","Timis County","timis-county","timisoara","Romania","300001","RON","lei","GDPR / ANCOM","Orange|Vodafone|Digi.Mobil","city_center","+40","Europe/Bucharest","45.8642","25.0194","Timisoara State Highway Crossing Terminal","Primary edge trunk terminated over Orange networks. Failovers route over Vodafone, Digi.Mobil with active latency policing loops.","Remote regional support and carrier network coverage for Timisoara, Romania","2240678","1830633","1521420","1,006 females per 1,000 males","49.9","50.1","lei33,776 RON per annum","2800847","81.7","67.9","1118098","1122580"
